indicator,source,type
enforced social isolation,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
"abuser preventing person from accessing education, social opportunities or seeing friends",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
abuser removing mobility or communication aids,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
abuser leaving person unattended when they need assistance,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
abuser preventing person from meeting religious or cultural needs,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
abuser preventing person from expressing choice or opinion,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
not respecting privacy,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
"abuser preventing person from meaningful occupation, activities or stimulation",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
intimidation,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
coercion,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
harassment,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
use of threats,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
humiliation,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
bullying,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
swearing,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
verbal abuse,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
addressing a person in a patronising or infantilising way,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
threats of harm,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
threats of abandonment,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
cyber bullying,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
air of silence when a particular person is present,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
withdrawal of a person,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
change in the psychological state of a person,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
insomnia,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
low self-esteem,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
aggressive behaviour,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
uncooperative behaviour,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
change of appetite,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
weight gain or weight loss,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
signs of distress,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
tearfulness,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
anger,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
being emotionally upset or agitated,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
being extremely withdrawn,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
being non communicative or non responsive,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
"unusual behavior usually attributed to dementia (e.g., sucking, biting, rocking)",https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
nervousness around certain people,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
mental mistreatment,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Form
