indicator,word,pos_tag
assault,aggress,VERB
assault,aggressed,ADJ
assault,aggression,NOUN
assault,aggressive,ADJ
assault,aggressor,NOUN
assault,assault,NOUN
assault,assault,VERB
assault,assaulted,ADJ
assault,assaulter,NOUN
assault,assaulting,ADJ
assault,attack,NOUN
assault,attack,VERB
assault,attacked,VERB
assault,attacker,NOUN
assault,attacking,VERB
assault,batter,VERB
assault,battered,ADJ
assault,batterer,NOUN
assault,battering,ADJ
assault,battering,NOUN
assault,choke,VERB
assault,choked,ADJ
assault,harm,NOUN
assault,harm,VERB
assault,harmer,NOUN
assault,harmful,ADJ
assault,strangle,VERB
assault,strangled,ADJ
assault,violate,VERB
assault,violated,ADJ
assault,violator,NOUN
assault,violence,NOUN
assault,violent,ADJ
biting,bite,NOUN
biting,bite,VERB
biting,biting,ADJ
biting,bitten,ADJ
biting,gnaw,VERB
biting,gnawed,ADJ
black eyes,shiner,NOUN
black eyes,swell,VERB
black eyes,swelling,NOUN
black eyes,swollen,ADJ
broken bones,bone,NOUN
broken bones,break,VERB
broken bones,broken,ADJ
broken bones,crack,VERB
broken bones,cracked,ADJ
broken bones,disjoin,VERB
broken bones,disjointed,ADJ
broken bones,dislocate,VERB
broken bones,dislocated,ADJ
broken bones,fracture,NOUN
broken bones,fracture,VERB
broken bones,fractured,ADJ
broken bones,injure,VERB
broken bones,injured,ADJ
broken bones,injury,NOUN
broken bones,snap,VERB
broken bones,snapped,ADJ
broken bones,splinter,VERB
broken bones,splintered,ADJ
broken eyeglasses,shattered,ADJ
broken eyeglasses,smashed,ADJ
bruising,bruise,NOUN
bruising,bruise,VERB
bruising,bruised,ADJ
bruising,bruising,ADJ
bruising,bruising,NOUN
bruising,contuse,VERB
bruising,contused,ADJ
bruising,contusing,ADJ
bruising,contusion,NOUN
bruising,discolor,VERB
bruising,discoloration,NOUN
bruising,discolored,ADJ
bruising,discoloring,ADJ
bruising,hematoma,NOUN
bruising,injure,VERB
bruising,injured,ADJ
bruising,injurer,NOUN
bruising,injuring,ADJ
bruising,injury,NOUN
bruising,swell,NOUN
bruising,swell,VERB
bruising,swelling,ADJ
bruising,swelling,NOUN
bruising,swollen,ADJ
burning,burn,NOUN
burning,burn,VERB
burning,burned,ADJ
burning,burning,ADJ
burning,burning,NOUN
burning,scald,NOUN
burning,scald,VERB
burning,scalded,ADJ
burning,scalding,ADJ
cuts,carving,ADJ
cuts,cut,NOUN
cuts,cut,VERB
cuts,cutter,NOUN
cuts,cutting,NOUN
cuts,knife,NOUN
cuts,lacerate,VERB
cuts,lacerated,ADJ
cuts,lacerating,ADJ
cuts,laceration,NOUN
cuts,scar,NOUN
cuts,scar,VERB
cuts,scarred,ADJ
cuts,scarring,ADJ
cuts,scarring,NOUN
cuts,slash,NOUN
cuts,slash,VERB
cuts,slashed,ADJ
cuts,slashing,ADJ
cuts,slice,VERB
