indicator,source,type
rape or attempted rape,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
sexual assault,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
inappropriate touch,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
non-consensual masturbation,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
"non-consensual sexual penetration of vagina, anus or mouth",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
inappropriate looking or staring,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
sexual activity that the person lacks the capacity to consent to,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
unsolicited sexual teasing or innuendo,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
sexual harassment,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
"forced witnessing of sexual acts, sexual photography or pornography",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
indecent exposure,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Form
"bruised genital area, thighs or buttocks",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
marks on the neck,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
"torn, stained or bloody underclothing",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
"bleeding, pain or itching in genital area",https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
foreign body in genital or rectal opening,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
genital discharge,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
infected genitals,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
sexually transmitted disease,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
pregnancy in a woman who is unable to consent to sexual intercourse,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
change in sexual behavior or sexual attitude,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
uncharacteristic use of explicit sexual language,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
incontinence,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
self-harming,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
poor concentration,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
sleep disturbance,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
fear of or withdrawal from relationships,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
withdrawal,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
fear of receiving help with personal care,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
fear to be alone with a particular person,https://www.scie.org.uk/safeguarding/adults/introduction/types-and-indicators-of-abuse/,Sign
bruised breasts,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
vaginal or anal bleeding,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
unexplained venereal disease,https://www.dshs.wa.gov/altsa/home-and-community-services/types-and-signs-abuse,Sign
