src,relationship,dst,Emotional Abuse,Neglect,Physical Abuse,Sexual Abuse
Abuse,sub_tags,Abuse of Authority,0,0,0,0
Abuse,sub_tags,Abused Adrien Agreste | Chat Noir,0,0,0,0
Abuse,sub_tags,Abused Aizawa Shouta | Eraserhead,0,0,0,0
Abuse,sub_tags,Abused Alec Lightwood,0,0,0,0
Abuse,sub_tags,Abused Alexander Hamilton,0,0,0,0
Abuse,sub_tags,Abused Angel Dust (Hazbin Hotel),0,0,0,0
Abuse,sub_tags,Abused Anxiety | Virgil Sanders,0,0,0,0
Abuse,sub_tags,Abused Aziraphale (Good Omens),0,0,0,0
Abuse,sub_tags,Abused Bakugou Katsuki,0,0,0,0
Abuse,sub_tags,Abused Billy Hargrove,0,0,0,0
Abuse,sub_tags,Abused Castiel (Supernatural),0,0,0,0
Abuse,sub_tags,Abused Connor (Detroit: Become Human),0,0,0,0
Abuse,sub_tags,"Abused Creativity | Roman ""Princey"" Sanders",0,0,0,0
Abuse,sub_tags,Abused Dabi | Todoroki Touya,0,0,0,0
Abuse,sub_tags,"Abused Dark Creativity | Remus ""The Duke"" Sanders",0,0,0,0
Abuse,sub_tags,Abused Daryl Dixon,0,0,0,0
Abuse,sub_tags,Abused Dean Winchester,0,0,0,0
Abuse,sub_tags,Abused Deceit | Janus Sanders,0,0,0,0
Abuse,sub_tags,Abused Derek Hale,0,0,0,0
Abuse,sub_tags,Abused Draco Malfoy,0,0,0,0
Abuse,sub_tags,Abused Eren Yeager,0,0,0,0
Abuse,sub_tags,Abused Hinata Shouyou,0,0,0,0
Abuse,sub_tags,Abused Isaac Lahey,0,0,0,0
Abuse,sub_tags,Abused Jace Wayland,0,0,0,0
Abuse,sub_tags,Abused Jared Padalecki,0,0,0,0
Abuse,sub_tags,Abused Jaskier | Dandelion,0,0,0,0
Abuse,sub_tags,Abused Jeon Jungkook,0,0,0,0
Abuse,sub_tags,Abused John Watson,0,0,0,0
Abuse,sub_tags,Abused Jughead Jones,0,0,0,0
Abuse,sub_tags,Abused Kageyama Tobio,0,0,0,0
Abuse,sub_tags,Abused Kaminari Denki,0,0,0,0
Abuse,sub_tags,Abused Keith (Voltron),0,0,0,0
Abuse,sub_tags,Abused Kim Seokjin | Jin,0,0,0,0
Abuse,sub_tags,Abused Kim Taehyung | V,0,0,0,0
Abuse,sub_tags,Abused Kirishima Eijirou,0,0,0,0
Abuse,sub_tags,Abused Kuroo Tetsurou,0,0,0,0
Abuse,sub_tags,Abused Lance (Voltron),0,0,0,0
Abuse,sub_tags,Abused Leo Valdez,0,0,0,0
Abuse,sub_tags,Abused Levi Ackerman,0,0,0,0
Abuse,sub_tags,Abused Logic | Logan Sanders,0,0,0,0
Abuse,sub_tags,Abused Loki (Marvel),0,0,0,0
Abuse,sub_tags,Abused Louis Tomlinson,0,0,0,0
Abuse,sub_tags,Abused Luke Hemmings,0,0,0,0
Abuse,sub_tags,Abused Magnus Bane,0,0,0,0
Abuse,sub_tags,Abused Merlin (Merlin),0,0,0,0
Abuse,sub_tags,Abused Mickey Milkovich,0,0,0,0
Abuse,sub_tags,Abused Midoriya Inko,0,0,0,0
Abuse,sub_tags,Abused Midoriya Izuku,0,0,0,0
Abuse,sub_tags,Abused Min Yoongi | Suga,0,0,0,0
Abuse,sub_tags,Abused Morality | Patton Sanders,0,0,0,0
Abuse,sub_tags,Abused Niall Horan,0,0,0,0
Abuse,sub_tags,Abused Park Jimin (BTS),0,0,0,0
Abuse,sub_tags,Abused Peter Parker,0,0,0,0
Abuse,sub_tags,Abused Rick Grimes,0,0,0,0
Abuse,sub_tags,Abused Sam Winchester,0,0,0,0
Abuse,sub_tags,Abused Severus Snape,0,0,0,0
Abuse,sub_tags,Abused Sherlock Holmes,0,0,0,0
Abuse,sub_tags,Abused Shinsou Hitoshi,0,0,0,0
Abuse,sub_tags,Abused Sirius Black,0,0,0,0
Abuse,sub_tags,Abused Spencer Reid,0,0,0,0
Abuse,sub_tags,Abused Steve Harrington,0,0,0,0
Abuse,sub_tags,Abused Stiles Stilinski,0,0,0,0
Abuse,sub_tags,Abused Takami Keigo | Hawks,0,0,0,0
Abuse,sub_tags,Abused Tim Drake,0,0,0,0
Abuse,sub_tags,Abused Toby Smith | Tubbo,0,0,0,0
Abuse,sub_tags,Abused Todoroki Shouto,0,0,0,0
Abuse,sub_tags,Abused Toga Himiko,0,0,0,0
Abuse,sub_tags,Abused Tom Riddle,0,0,0,0
Abuse,sub_tags,Abused TommyInnit (Video Blogging RPF),0,0,0,0
Abuse,sub_tags,Abused Tony Stark,0,0,0,0
Abuse,sub_tags,Abused Wèi Yīng | Wèi Wúxiàn,0,0,0,0
Abuse,sub_tags,Abused Will Graham,0,0,0,0
Abuse,sub_tags,Abusive Alastair (Supernatural),0,0,0,0
Abuse,sub_tags,Abusive Alexis | Quackity,0,0,0,0
Abuse,sub_tags,Abusive Anxiety | Virgil Sanders,0,0,0,0
Abuse,sub_tags,Abusive Bakugou Katsuki,0,0,0,0
Abuse,sub_tags,Abusive Bakugou Masaru,0,0,0,0
Abuse,sub_tags,Abusive Bakugou Mitsuki,0,0,0,0
Abuse,sub_tags,Abusive Bill Cipher,0,0,0,0
Abuse,sub_tags,Abusive Blaine Anderson,0,0,0,0
Abuse,sub_tags,Abusive Brendol Hux,0,0,0,0
Abuse,sub_tags,Abusive Bruce Wayne,0,0,0,0
Abuse,sub_tags,Abusive Caliborn (Homestuck),0,0,0,0
Abuse,sub_tags,Abusive Camille Belcourt,0,0,0,0
Abuse,sub_tags,Abusive Castiel (Supernatural),0,0,0,0
Abuse,sub_tags,Abusive Claudia Stilinski,0,0,0,0
Abuse,sub_tags,Abusive Clay | Dream (Video Blogging RPF),0,0,0,0
Abuse,sub_tags,Abusive Cruella de Vil (101 Dalmatians),0,0,0,0
Abuse,sub_tags,Abusive Dabi | Todoroki Touya,0,0,0,0
Abuse,sub_tags,"Abusive Dark Creativity | Remus ""The Duke"" Sanders",0,0,0,0
Abuse,sub_tags,Abusive Dave's Bro | Beta Dirk Strider,0,0,0,0
Abuse,sub_tags,Abusive Dean Winchester,0,0,0,0
Abuse,sub_tags,Abusive Deceit | Janus Sanders,0,0,0,0
Abuse,sub_tags,Abusive Dio Brando,0,0,0,0
Abuse,sub_tags,Abusive Dursley Family (Harry Potter),0,0,0,0
Abuse,sub_tags,Abusive Eren Yeager,0,0,0,0
Abuse,sub_tags,Abusive Erwin Smith,0,0,0,0
Abuse,sub_tags,Abusive Filbrick Pines,0,0,0,0
Abuse,sub_tags,Abusive FP Jones II,0,0,0,0
Abuse,sub_tags,Abusive Frank Gallagher,0,0,0,0
Abuse,sub_tags,Abusive Gabriel (Good Omens),0,0,0,0
Abuse,sub_tags,Abusive Gabriel Agreste | Papillon | Hawk Moth,0,0,0,0
Abuse,sub_tags,Abusive Gerard Argent,0,0,0,0
Abuse,sub_tags,Abusive Grisha Yeager,0,0,0,0
Abuse,sub_tags,Abusive Handsome Jack,0,0,0,0
Abuse,sub_tags,Abusive Heaven (Good Omens),0,0,0,0
Abuse,sub_tags,Abusive Jackson Whittemore,0,0,0,0
Abuse,sub_tags,Abusive James Potter,0,0,0,0
Abuse,sub_tags,Abusive James Reynolds,0,0,0,0
Abuse,sub_tags,Abusive Jeon Jungkook,0,0,0,0
Abuse,sub_tags,Abusive John Winchester,0,0,0,0
Abuse,sub_tags,Abusive Jschlatt (Video Blogging RPF),0,0,0,0
Abuse,sub_tags,Abusive Kate Argent,0,0,0,0
Abuse,sub_tags,Abusive Lán Qǐrén,0,0,0,0
Abuse,sub_tags,Abusive Levi Ackerman,0,0,0,0
Abuse,sub_tags,Abusive Lonnie Byers,0,0,0,0
Abuse,sub_tags,Abusive Lotor (Voltron),0,0,0,0
Abuse,sub_tags,Abusive Lucifer (Supernatural),0,0,0,0
Abuse,sub_tags,Abusive Lucius Malfoy,0,0,0,0
Abuse,sub_tags,Abusive Michael (Supernatural),0,0,0,0
Abuse,sub_tags,Abusive Midoriya Hisashi,0,0,0,0
Abuse,sub_tags,Abusive Midoriya Inko,0,0,0,0
Abuse,sub_tags,Abusive Miklan (Fire Emblem),0,0,0,0
Abuse,sub_tags,Abusive Morality | Patton Sanders,0,0,0,0
Abuse,sub_tags,Abusive Myra Kaspbrak,0,0,0,0
Abuse,sub_tags,Abusive Naomi (Supernatural),0,0,0,0
Abuse,sub_tags,Abusive Neil Hargrove,0,0,0,0
Abuse,sub_tags,Abusive Niall Horan,0,0,0,0
Abuse,sub_tags,Abusive Park Jimin (BTS),0,0,0,0
Abuse,sub_tags,Abusive Peter Hale,0,0,0,0
Abuse,sub_tags,Abusive Reginald Hargreeves,0,0,0,0
Abuse,sub_tags,Abusive Relationships,0,0,0,0
Abuse,sub_tags,Abusive Rika (Mystic Messenger),0,0,0,0
Abuse,sub_tags,Abusive Ron Weasley,0,0,0,0
Abuse,sub_tags,Abusive Sam Winchester,0,0,0,0
Abuse,sub_tags,Abusive Sensei | All For One,0,0,0,0
Abuse,sub_tags,Abusive Severus Snape,0,0,0,0
Abuse,sub_tags,Abusive Shadow Weaver | Light Spinner (She-Ra),0,0,0,0
Abuse,sub_tags,Abusive Sheev Palpatine,0,0,0,0
Abuse,sub_tags,Abusive Sheriff Stilinski,0,0,0,0
Abuse,sub_tags,Abusive Sirius Black,0,0,0,0
Abuse,sub_tags,Abusive Snoke (Star Wars),0,0,0,0
Abuse,sub_tags,Abusive Sonia Kaspbrak,0,0,0,0
Abuse,sub_tags,Abusive Terry Milkovich,0,0,0,0
Abuse,sub_tags,Abusive Theo Raeken,0,0,0,0
Abuse,sub_tags,Abusive Todoroki Enji | Endeavor,0,0,0,0
Abuse,sub_tags,Abusive Todoroki Rei,0,0,0,0
Abuse,sub_tags,Abusive Todoroki Shouto,0,0,0,0
Abuse,sub_tags,Abusive Unkar Plutt,0,0,0,0
Abuse,sub_tags,Abusive Valentino (Hazbin Hotel),0,0,0,0
Abuse,sub_tags,Abusive Vernon Dursley,0,0,0,0
Abuse,sub_tags,Abusive Wilbur Soot,0,0,0,0
Abuse,sub_tags,Abusive William Afton | Dave Miller,0,0,0,0
Abuse,sub_tags,Abusive Yagi Toshinori | All Might,0,0,0,0
Abuse,sub_tags,Abusive Yú Zǐyuān,0,0,0,0
Abuse,sub_tags,Animal Abuse,0,0,0,0
Abuse,sub_tags,Domestic Violence,0,0,0,0
Abuse,sub_tags,Emotional*s*Psychological Abuse,1,0,0,0
Abuse,sub_tags,Familial Abuse,0,0,0,0
Abuse,sub_tags,Implied*s*Referenced Abuse,0,0,0,0
Abuse,sub_tags,Past Abuse,0,0,0,0
Abuse,sub_tags,Physical Abuse,0,0,1,0
Abuse,sub_tags,Pokemon Abuse,0,0,0,0
Abuse,sub_tags,Priest Abuse,0,0,0,1
Abuse,sub_tags,Sexual Abuse,0,0,0,1
Abuse,sub_tags,Verbal Abuse,0,0,0,0
Abuse,synonymous_tags,(mentions of) Abuse,0,0,0,0
Abuse,synonymous_tags,*h*abuse,0,0,0,0
Abuse,synonymous_tags,A bit of abuse,0,0,0,0
Abuse,synonymous_tags,a lot of abuse,0,0,0,0
Abuse,synonymous_tags,abus,0,0,0,0
Abuse,synonymous_tags,abuse - not descriptive,0,0,0,0
Abuse,synonymous_tags,abuse :(,0,0,0,0
Abuse,synonymous_tags,Abuse (all forms),0,0,0,0
Abuse,synonymous_tags,Abuse (non-romantic relationship),0,0,0,0
Abuse,synonymous_tags,Abuse (TW),0,0,0,0
Abuse,synonymous_tags,Abuse But Not Graphic,0,0,0,0
Abuse,synonymous_tags,abuse cw,0,0,0,0
Abuse,synonymous_tags,abuse cw (for idol business parallels),0,0,0,0
Abuse,synonymous_tags,Abuse Disclosure,0,0,0,0
Abuse,synonymous_tags,Abuse discussion,0,0,0,0
Abuse,synonymous_tags,Abuse During Pregnancy,0,0,0,0
Abuse,synonymous_tags,Abuse for one night,0,0,0,0
Abuse,synonymous_tags,abuse i guess,0,0,0,0
Abuse,synonymous_tags,abuse implication,0,0,0,0
Abuse,synonymous_tags,Abuse in general,0,0,0,0
Abuse,synonymous_tags,abuse in general tbh,0,0,0,0
Abuse,synonymous_tags,Abuse in later chapters,0,0,0,0
Abuse,synonymous_tags,abuse in the beginning,0,0,0,0
Abuse,synonymous_tags,abuse is a thing,0,0,0,0
Abuse,synonymous_tags,abuse is abuse,0,0,0,0
Abuse,synonymous_tags,Abuse is mentioned,0,0,0,0
Abuse,synonymous_tags,Abuse kinda,0,0,0,0
Abuse,synonymous_tags,abuse maybe,0,0,0,0
Abuse,synonymous_tags,abuse mention tw,0,0,0,0
Abuse,synonymous_tags,Abuse near the end,0,0,0,0
Abuse,synonymous_tags,abuse not between main characters,0,0,0,0
Abuse,synonymous_tags,Abuse not between romantic interests,0,0,0,0
Abuse,synonymous_tags,abuse of minor character,0,0,0,0
Abuse,synonymous_tags,Abuse referenced,0,0,0,0
Abuse,synonymous_tags,Abuse shown,0,0,0,0
Abuse,synonymous_tags,abuse story,0,0,0,0
Abuse,synonymous_tags,Abuse too,0,0,0,0
Abuse,synonymous_tags,Abuse trigger,0,0,0,0
Abuse,synonymous_tags,abuse trigger warning,0,0,0,0
Abuse,synonymous_tags,abuse tw,0,0,0,0
Abuse,synonymous_tags,Abuse warning,0,0,0,0
Abuse,synonymous_tags,abuse-ish,0,0,0,0
Abuse,synonymous_tags,abuse!,0,0,0,0
Abuse,synonymous_tags,Abuse*d*,0,0,0,0
Abuse,synonymous_tags,Abuse*q**q*,0,0,0,0
Abuse,synonymous_tags,Abuse*s*Violence,0,0,1,0
Abuse,synonymous_tags,Abused characters,0,0,0,0
Abuse,synonymous_tags,abusement,0,0,0,0
Abuse,synonymous_tags,abusing,0,0,0,0
Abuse,synonymous_tags,Abusive Behavior,0,0,0,0
Abuse,synonymous_tags,Abusive Character,0,0,0,0
Abuse,synonymous_tags,abusive content,0,0,0,0
Abuse,synonymous_tags,Abusive home,0,0,0,0
Abuse,synonymous_tags,abusive mothers,0,0,0,0
Abuse,synonymous_tags,abusive stepsisters,0,0,0,0
Abuse,synonymous_tags,Abusiveness,0,0,0,0
Abuse,synonymous_tags,abuso,0,0,0,0
Abuse,synonymous_tags,abusos,0,0,0,0
Abuse,synonymous_tags,accusations of abuse,0,0,0,0
Abuse,synonymous_tags,actual abuse,0,0,0,0
Abuse,synonymous_tags,aduse,0,0,0,0
Abuse,synonymous_tags,All kinds of abuse,0,0,0,0
Abuse,synonymous_tags,all the abuse,0,0,0,0
Abuse,synonymous_tags,allusions to domestic violence and child abuse,0,0,0,0
Abuse,synonymous_tags,Allusions to Parental Abuse,0,0,0,0
Abuse,synonymous_tags,Also abuse happens,0,0,0,0
Abuse,synonymous_tags,an abusive piece of shit,0,0,0,0
Abuse,synonymous_tags,and abuse,0,0,0,0
Abuse,synonymous_tags,And all types of abuse are in this story okay,0,0,0,0
Abuse,synonymous_tags,and references to abuse,0,0,0,0
Abuse,synonymous_tags,background abuse,0,0,0,0
Abuse,synonymous_tags,basically All the abuse,0,0,0,0
Abuse,synonymous_tags,bc what he does is abusive yall,0,0,0,0
